Species,Antigen,Clone,Catalog no.,Flurochrome,Product name,Acetone human,4% PFA human,FFPE human,FFPE human RNAsky,Acetone mouse,4% PFA mouse,FFPE mouse,Gene names,Antibody type,Company
human,53BP1,REAL1211,130-130-617,PE,"53BP1 Antibody, anti-human, REAdye_lease™",,yes,yes,,,,,TP53BP1; p202; 53BP1; TDRD30; p53BP1,REAL,Miltenyi
human,53BP1,REAL1211,130-130-623,Vio B515,"53BP1 Antibody, anti-human, REAdye_lease™",,yes,yes,,,,,TP53BP1; p202; 53BP1; TDRD30; p53BP1,REAL,Miltenyi
human,53BP1,REAL1211,130-133-168,Vio R667,"53BP1 Antibody, anti-human, REAdye_lease™",,yes,yes,,,,,TP53BP1; p202; 53BP1; TDRD30; p53BP1,REAL,Miltenyi
human,ACPP,REAL717,130-126-572,FITC,"ACPP Antibody, anti-human, REAdye_lease™",no,no,yes,,,,,ACP3; 5'-NT; ACP-3; ACPP; TM-PAP,REAL,Miltenyi
human,ACPP,REAL717,130-126-576,PE,"ACPP Antibody, anti-human, REAdye_lease™",no,no,yes,,,,,ACP3; 5'-NT; ACP-3; ACPP; TM-PAP,REAL,Miltenyi
mouse,ACSA-2,IH3-18A3,130-117-535,APC,"ACSA-2 Antibody, anti-mouse",,,,,,yes,,ATP1B2; AMOG; ATPB-2,Hybridoma,Miltenyi
mouse,ACSA-2,IH3-18A3,130-123-284,PE,"ACSA-2 Antibody, anti-mouse",,,,,,yes,,ATP1B2; AMOG; ATPB-2,Hybridoma,Miltenyi
mouse,ACSA-2,REA969,130-116-245,APC,"ACSA-2 Antibody, anti-mouse, REAfinity™",,,,,,yes,,ATP1B2; AMOG; ATPB-2,REA,Miltenyi
mouse,ACSA-2,REA969,130-116-243,FITC,"ACSA-2 Antibody, anti-mouse, REAfinity™",,,,,,yes,,ATP1B2; AMOG; ATPB-2,REA,Miltenyi
mouse,ACSA-2,REA969,130-116-244,PE,"ACSA-2 Antibody, anti-mouse, REAfinity™",,,,,,yes,,ATP1B2; AMOG; ATPB-2,REA,Miltenyi
human,ACTC1,REAL970,130-127-354,APC,"ACTC1 Antibody, anti-human, REAdye_lease™",no,no,yes,,,,,ACTC1; ACTC; ASD5; CMD1R; CMH11; LVNC4,REAL,Miltenyi
human,ACTC1,REAL970,130-127-351,FITC,"ACTC1 Antibody, anti-human, REAdye_lease™",yes,yes,yes,,,,,ACTC1; ACTC; ASD5; CMD1R; CMH11; LVNC4,REAL,Miltenyi
human,ACTC1,REAL970,130-127-358,PE,"ACTC1 Antibody, anti-human, REAdye_lease™",no,no,yes,,,,,ACTC1; ACTC; ASD5; CMD1R; CMH11; LVNC4,REAL,Miltenyi
human,ACTC1,REAL1174,130-129-694,PE,"ACTC1 Antibody, anti-human, REAdye_lease™",no,no,yes,,,,,ACTC1; ACTC; ASD5; CMD1R; CMH11; LVNC4,REAL,Miltenyi
human,ACTC1,REAL1174,130-133-121,Vio B515,"ACTC1 Antibody, anti-human, REAdye_lease™",,yes,yes,,,,,ACTC1; ACTC; ASD5; CMD1R; CMH11; LVNC4,REAL,Miltenyi
"human, mouse",Actin (Smooth Muscle),REAL650,130-123-363,FITC,"Actin (Smooth Muscle) Antibody, anti-human, REAdye_lease™",yes,yes,yes,yes,,yes,,ACTA2; ACTSA; ACTVS; a-SMA; SMAalpha; SMalphaA; alphaSMA; 0610041G09Rik,REAL,Miltenyi
"human, mouse",Actin (Smooth Muscle),REAL650,130-123-370,PE,"Actin (Smooth Muscle) Antibody, anti-human, REAdye_lease™",yes,yes,yes,yes,,yes,,ACTA2; ACTSA; ACTVS; a-SMA; SMAalpha; SMalphaA; alphaSMA; 0610041G09Rik,REAL,Miltenyi
human,AIFM1,REAL1034,130-131-599,Vio B515,"AIFM1 Antibody, anti-human, REAdye_lease™",,yes,yes,,,,,AIFM1; AIF; AUNX1; CMT2D; CMTX4; COWCK; DFNX5; NADMR; NAMSD; PDCD8; COXPD6; SEMDHL,REAL,Miltenyi
"human, mouse, rat",AKT Pan (PKB),REA676,130-137-400,APC,"AKT Pan (PKB) Antibody, anti-human/mouse/rat, REAfinity™",,,yes,,,,,AKT; AKT1; CWS6; LTR-AKT; PKB; PKB-ALPHA; PKB/AKT; PKBALPHA; PRKBA; RAC; RAC-ALPHA,REA,Miltenyi
